序列,title,rate,style1,style2,h-0,s-0,v-0,percent-0,hex-0,percent-1,hex-1,percent-2,hex-2,percent-3,hex-3,percent-4,hex-4,pic,url,cover
77,一级机密,7,犯罪,惊悚,20,16,4,0.542657343,#0B0A0A,0.206923077,#292522,0.109440559,#684C43,0.073636364,#9A877B,0.067342657,#ECD638,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510289400.jpg,https://movie.douban.com/subject/26875259/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510289400.jpg
78,爱情小说,6.7,爱情,,20,17,94,0.573776224,#F1D6C9,0.213076923,#E0B39A,0.118601399,#A47965,0.052587413,#241511,0.041958042,#414142,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2153427676.jpg,https://movie.douban.com/subject/6041221/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2153427676.jpg
79,新世界,8.5,犯罪,剧情,20,20,5,0.44013986,#0C0A0A,0.193076923,#382F2B,0.143426573,#68524A,0.133706294,#8A807C,0.08965035,#2A1E1C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1903380040.jpg,https://movie.douban.com/subject/10437779/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1903380040.jpg
80,德惠翁主,7.3,历史,剧情,20,33,32,0.26986014,#503F36,0.230839161,#221A1A,0.223076923,#826F5E,0.14958042,#D2C5B0,0.126643357,#DBDAC8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2359023575.jpg,https://movie.douban.com/subject/10774104/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2359023575.jpg
81,被掩盖的时间,7.5,奇幻,爱情,20,58,72,0.253776224,#B8714E,0.220699301,#D9A380,0.217762238,#E8C8BE,0.173986014,#7E452E,0.133776224,#D69870,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2399243487.jpg,https://movie.douban.com/subject/26527937/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2399243487.jpg
82,杀人者的记忆法,7.4,悬疑,犯罪,21,23,13,0.297062937,#211C19,0.224405594,#52433E,0.177272727,#C8B8B0,0.165314685,#A57866,0.135944056,#3D7774,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2502854299.jpg,https://movie.douban.com/subject/26391916/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2502854299.jpg
83,痛症,6.9,爱情,剧情,21,37,37,0.251748252,#60493C,0.248951049,#221411,0.193706294,#9D6C57,0.180839161,#C69B7C,0.124755245,#292021,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1136236359.jpg,https://movie.douban.com/subject/5919334/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1136236359.jpg
84,阿阿奇与西西帕克,8,动画,科幻,21,45,83,0.356713287,#D59776,0.326923077,#EAE8E5,0.172237762,#C52A30,0.091678322,#4E433F,0.052447552,#EBE6D9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2183438839.jpg,https://movie.douban.com/subject/1916631/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2183438839.jpg
85,老千2：神之手,7.1,犯罪,剧情,21,51,6,0.405594406,#100B08,0.281328671,#32251E,0.159090909,#676155,0.081048951,#C9B7AC,0.072937063,#2F2423,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2195672548.jpg,https://movie.douban.com/subject/10877413/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2195672548.jpg
86,情侣们,7.2,喜剧,爱情,22,0,98,0.472587413,#FBFAFA,0.178881119,#D8B4A3,0.139440559,#242226,0.110629371,#C72B39,0.098461538,#C7D2CE,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1230185472.jpg,https://movie.douban.com/subject/6041220/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1230185472.jpg
87,圣殇,7.7,剧情,,22,9,79,0.325174825,#C9BDB6,0.198321678,#887D75,0.168741259,#4B4542,0.167762238,#EDE8E6,0.14,#E0DBD4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1699450600.jpg,https://movie.douban.com/subject/10487226/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1699450600.jpg
88,爱·回家,9,剧情,家庭,22,27,25,0.351468531,#40352F,0.273006993,#325169,0.225034965,#A77F5A,0.078531469,#DCD1BE,0.071958042,#9B7C4E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2107418134.jpg,https://movie.douban.com/subject/1299361/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2107418134.jpg
89,奇怪的她,8.3,喜剧,奇幻,22,27,77,0.245034965,#C3A28E,0.238041958,#E9E3DB,0.191958042,#6B4C45,0.164965035,#1B1216,0.16,#AEA49C,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2162863558.jpg,https://movie.douban.com/subject/24879820/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2162863558.jpg
90,加油站袭击事件,7.6,喜剧,喜剧,22,35,18,0.468601399,#2D231D,0.196783217,#645A46,0.127482517,#D0D3C1,0.12048951,#988E56,0.086643357,#964D1E,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1837011657.jpg,https://movie.douban.com/subject/1302165/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1837011657.jpg
91,慢放镜头,6.7,剧情,剧情,22,35,82,0.301748252,#D0A288,0.246993007,#311A1A,0.163286713,#6B1B23,0.154335664,#8F634F,0.133636364,#736264,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2196512978.jpg,https://movie.douban.com/subject/25747030/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2196512978.jpg
92,计划男,7.3,喜剧,音乐,22,38,20,0.258671329,#33261F,0.238951049,#E2CC50,0.203636364,#AB8955,0.181538462,#D2CABB,0.117202797,#4D647B,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2160492956.jpg,https://movie.douban.com/subject/24879816/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2160492956.jpg
93,哭泣的男人,6.4,动作,,23,4,8,0.430629371,#151514,0.29986014,#F7F7F7,0.103076923,#7F776D,0.096923077,#3E3B39,0.06951049,#BEBAAC,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184034235.jpg,https://movie.douban.com/subject/24743015/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184034235.jpg
94,结婚礼服,8.4,剧情,家庭,23,5,95,0.402657343,#F1EAE5,0.198111888,#C8A395,0.173706294,#1F1216,0.125314685,#6D3834,0.10020979,#277FAE,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2163657305.jpg,https://movie.douban.com/subject/4230918/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2163657305.jpg
95,儿子,8,剧情,剧情,23,7,89,0.302517483,#E4DBD5,0.227272727,#E2C8A3,0.191958042,#201C1B,0.175874126,#908477,0.102377622,#2B477A,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1472858681.jpg,https://movie.douban.com/subject/2144501/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1472858681.jpg
96,偷心贼,6.3,爱情,喜剧,23,17,79,0.315944056,#C9B3A6,0.278181818,#1B1411,0.175594406,#BB2329,0.150909091,#7A6154,0.079370629,#50423D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159545816.jpg,https://movie.douban.com/subject/10508878/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159545816.jpg
97,领跑人,7.2,剧情,动作,23,18,39,0.266853147,#635851,0.244685315,#9C8C80,0.216573427,#282120,0.207202797,#D3D3CF,0.064685315,#1A1415,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173859795.jpg,https://movie.douban.com/subject/6101833/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173859795.jpg
98,电影就是电影,7.5,动作,剧情,23,20,6,0.403986014,#100E0D,0.192937063,#3F352F,0.16972028,#E5DFD7,0.136783217,#9F978E,0.096573427,#DEDCD8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166630729.jpg,https://movie.douban.com/subject/3406467/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166630729.jpg
99,解语花,7.1,爱情,剧情,23,25,15,0.282727273,#27211D,0.236083916,#644940,0.212027972,#442E3F,0.153356643,#9B8278,0.115804196,#241C13,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2326054870.jpg,https://movie.douban.com/subject/26283288/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2326054870.jpg
100,二十,6.9,喜剧,剧情,24,1,94,0.282727273,#F0EEED,0.271888112,#2A2322,0.22993007,#A88A80,0.140839161,#98211C,0.074615385,#D48D76,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2229383316.jpg,https://movie.douban.com/subject/25862355/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2229383316.jpg
101,结婚前夜,6.4,爱情,,24,15,92,0.283846154,#EAD5C7,0.18993007,#A79AAD,0.188251748,#221617,0.17048951,#BA7E63,0.167482517,#A4A5A4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2155464494.jpg,https://movie.douban.com/subject/23712558/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2155464494.jpg
102,王者,7.5,犯罪,剧情,24,23,11,0.395244755,#1D1916,0.246223776,#483428,0.156293706,#805D46,0.130979021,#BA9F74,0.071258741,#7B746F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2413029060.jpg,https://movie.douban.com/subject/26410593/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2413029060.jpg
103,我的爱在我身边,7.3,剧情,,25,2,87,0.371608392,#DEDBD9,0.243496503,#766153,0.187832168,#ADA095,0.111048951,#5F2B2A,0.086013986,#D1A69A,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p465532697.jpg,https://movie.douban.com/subject/3269058/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p465532697.jpg
104,素媛,9.1,剧情,,25,15,15,0.307342657,#252220,0.250559441,#615E57,0.212727273,#D3D1CC,0.171608392,#9F9589,0.057762238,#5E6363,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,https://movie.douban.com/subject/21937452/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
105,偷狗的完美方法,7.3,家庭,剧情,25,20,55,0.29958042,#8C7C70,0.218531469,#C4C8BE,0.211048951,#3A2D2F,0.188391608,#675E3F,0.082447552,#394F1C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2214375972.jpg,https://movie.douban.com/subject/25834457/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2214375972.jpg
106,收件人不详,8.3,战争,剧情,25,26,42,0.282447552,#6A5A4F,0.21,#F0EFF4,0.196573427,#23211B,0.175454545,#958170,0.135524476,#B2AEA4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1173347335.jpg,https://movie.douban.com/subject/1305530/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1173347335.jpg
107,一条龙,6.7,犯罪,,26,5,70,0.269300699,#B1ACA8,0.195104895,#6A6360,0.18993007,#E8DDD3,0.184755245,#211F21,0.160909091,#B8B6B1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2433520294.jpg,https://movie.douban.com/subject/26598291/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2433520294.jpg
108,公司职员,6.5,动作,犯罪,26,15,14,0.302447552,#23201E,0.27993007,#0D0C0D,0.263286713,#423C34,0.123216783,#AB9B84,0.031118881,#E1D8CC,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1697767512.jpg,https://movie.douban.com/subject/6080756/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1697767512.jpg
109,猪猡之王,7.9,动画,,26,17,59,0.298671329,#97887D,0.226293706,#772228,0.183076923,#5F554D,0.165104895,#CDC5BF,0.126853147,#121013,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2090457858.jpg,https://movie.douban.com/subject/6902933/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2090457858.jpg
110,丰山犬,6.9,剧情,,26,31,26,0.263426573,#43372E,0.262517483,#786555,0.204195804,#9F9488,0.175384615,#161111,0.094475524,#D4D0C3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1031579786.jpg,https://movie.douban.com/subject/5326543/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1031579786.jpg
111,向着炮火,6.8,战争,,26,36,9,0.366153846,#17130F,0.278251748,#3A2E25,0.168251748,#645445,0.116993007,#9A8675,0.07034965,#C6ADA5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p775971530.jpg,https://movie.douban.com/subject/4282653/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p775971530.jpg
112,酒神小姐,8.2,剧情,传记,26,48,16,0.281678322,#281D15,0.246363636,#46422E,0.204405594,#492F26,0.145524476,#776153,0.122027972,#183351,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2376084941.jpg,https://movie.douban.com/subject/26713504/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2376084941.jpg
113,实尾岛,8,动作,剧情,26,51,14,0.344405594,#241912,0.258321678,#564437,0.164335664,#F2EDE6,0.148951049,#A08E81,0.083986014,#8A4A3F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2265612013.jpg,https://movie.douban.com/subject/1389982/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2265612013.jpg
114,错爱双鱼座,7,爱情,,27,2,97,0.336993007,#F8F5F3,0.28958042,#F7D785,0.186573427,#EDA767,0.113146853,#B4443B,0.073706294,#4F392A,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1113537816.jpg,https://movie.douban.com/subject/1308821/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1113537816.jpg
115,撒玛利亚女孩,7.5,情色,剧情,27,8,91,0.478741259,#E9DFD7,0.257902098,#D4C0B8,0.13951049,#B1A09F,0.076153846,#B68C83,0.047692308,#611517,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p462398519.jpg,https://movie.douban.com/subject/1308854/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p462398519.jpg
116,鬼乡,7.4,剧情,,27,8,94,0.273496503,#EFE4DB,0.246643357,#C5A992,0.227692308,#4A392D,0.157062937,#7A6250,0.095104895,#151111,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2226663805.jpg,https://movie.douban.com/subject/26322928/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2226663805.jpg
117,回家的路,8.5,剧情,犯罪,27,9,16,0.256153846,#282624,0.231888112,#52514C,0.207762238,#DCDFE1,0.178601399,#998578,0.125594406,#9A291D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2161532134.jpg,https://movie.douban.com/subject/6080840/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2161532134.jpg
118,扑通扑通我的人生,7.1,家庭,剧情,27,23,88,0.298391608,#E1C5AE,0.233496503,#F8EFE6,0.229090909,#AE917C,0.195454545,#674A45,0.043566434,#0F1633,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2230880388.jpg,https://movie.douban.com/subject/25747028/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2230880388.jpg
119,恋风恋歌,7.3,爱情,,27,24,94,0.389020979,#EFCFB5,0.236363636,#D99D7A,0.142867133,#573D39,0.139370629,#A27768,0.092377622,#584E50,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p970485229.jpg,https://movie.douban.com/subject/1302745/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p970485229.jpg
120,芭比,6.9,剧情,,27,30,83,0.296503497,#D3B194,0.19951049,#AD8064,0.193636364,#614439,0.180559441,#160C0E,0.12979021,#8B90A7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1740814407.jpg,https://movie.douban.com/subject/6514083/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1740814407.jpg
121,花葬,7.1,剧情,,27,38,37,0.306993007,#5F4B3B,0.28020979,#7F6F5E,0.212797203,#34261D,0.114755245,#DAD4D1,0.085244755,#DD452E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2227676101.jpg,https://movie.douban.com/subject/25741337/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2227676101.jpg
122,孤胆特工,8.1,动作,犯罪,27,40,7,0.382307692,#120E0B,0.242377622,#372D25,0.198461538,#5F5044,0.101888112,#928372,0.074965035,#ECD26C,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1187020899.jpg,https://movie.douban.com/subject/4249355/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1187020899.jpg
123,丑女大翻身,7.1,喜剧,爱情,27,57,67,0.268881119,#AB7449,0.212237762,#E9D1AF,0.192937063,#351D1A,0.178881119,#9B2628,0.147062937,#15100F,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1765318197.jpg,https://movie.douban.com/subject/2037796/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1765318197.jpg
124,人间中毒,6.4,情色,爱情,27,59,11,0.294825175,#1C130B,0.214685315,#86523B,0.209230769,#BB9475,0.19,#4C2F20,0.091258741,#B0182C,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2208681237.jpg,https://movie.douban.com/subject/25700838/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2208681237.jpg
125,在地球上恋爱,6.9,爱情,喜剧,28,2,93,0.35027972,#EDEBE9,0.329300699,#C7C6CB,0.176363636,#ABAAB3,0.09020979,#7A6C68,0.053846154,#CCCCC5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2404937256.jpg,https://movie.douban.com/subject/4034100/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2404937256.jpg
126,世上最美的离别,8.3,家庭,剧情,28,4,97,0.39979021,#F6F1EC,0.197482517,#CDB3A8,0.144055944,#917C76,0.136153846,#1D161B,0.122517483,#5A595B,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1264695739.jpg,https://movie.douban.com/subject/5364952/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1264695739.jpg
127,我们的幸福时光,8.1,爱情,,28,9,3,0.308671329,#080707,0.22034965,#B5916B,0.199090909,#715B4C,0.18,#3A312C,0.091888112,#C8B9B0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p472182473.jpg,https://movie.douban.com/subject/1940094/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p472182473.jpg
128,来看我吧,6.4,悬疑,惊悚,28,13,10,0.286503497,#181715,0.255664336,#3D3937,0.173356643,#BDB2AB,0.170979021,#E8E3DF,0.113496503,#DFD8D5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2325655984.jpg,https://movie.douban.com/subject/26427203/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2325655984.jpg
129,请别相信她,7.1,喜剧,爱情,28,13,84,0.29993007,#D7C7BA,0.284685315,#16100F,0.181608392,#5B433D,0.169230769,#C6916D,0.064545455,#A9916B,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p710890157.jpg,https://movie.douban.com/subject/1428421/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p710890157.jpg
130,小森林,7.2,剧情,,28,19,83,0.234265734,#D5BFAB,0.21013986,#333433,0.193356643,#C29075,0.183426573,#7F6652,0.178811189,#B83B22,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2512152196.jpg,https://movie.douban.com/subject/26877492/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2512152196.jpg
131,女高怪谈1：死亡教室,6.1,恐怖,剧情,28,21,36,0.285664336,#5B5148,0.235804196,#7B7265,0.184895105,#DBE1DF,0.160559441,#3E3731,0.133076923,#6C9877,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1655631631.jpg,https://movie.douban.com/subject/1306544/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1655631631.jpg
132,国际市场,8.3,剧情,家庭,28,41,26,0.28048951,#423327,0.227062937,#E8DFD3,0.203496503,#715847,0.145594406,#191B19,0.143356643,#5C6792,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2210568759.jpg,https://movie.douban.com/subject/21937450/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2210568759.jpg
133,在异国,6.8,爱情,剧情,29,4,83,0.356153846,#D3CFCA,0.301748252,#99928B,0.196923077,#3F5F6D,0.095524476,#8B5B53,0.04965035,#2C9652,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1541931818.jpg,https://movie.douban.com/subject/6717601/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1541931818.jpg
134,妻子小姐,7.3,喜剧,,29,11,93,0.266293706,#EEE0D3,0.232587413,#1D1413,0.230769231,#CBA67D,0.22993007,#6E5345,0.04041958,#D6C054,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2253154595.jpg,https://movie.douban.com/subject/26050295/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2253154595.jpg
135,观相,7.2,历史,剧情,29,41,14,0.239370629,#241D15,0.215314685,#BEA985,0.203076923,#D9CBB2,0.177062937,#9B8463,0.165174825,#B4ACA1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2112449528.jpg,https://movie.douban.com/subject/10563780/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2112449528.jpg
136,我人生中最美的一周,7.4,剧情,,29,48,83,0.274055944,#D5A070,0.237762238,#9A5A46,0.184965035,#B22422,0.157902098,#2D2625,0.145314685,#DD4E77,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2496247206.jpg,https://movie.douban.com/subject/1467235/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2496247206.jpg
137,达瑟儿,7.5,剧情,,30,0,97,0.40041958,#F6F6F6,0.218951049,#B0B9C8,0.196573427,#41282C,0.114825175,#897778,0.069230769,#AE9471,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1290552460.jpg,https://movie.douban.com/subject/6523690/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1290552460.jpg
138,伟大的愿望,7.4,喜剧,剧情,30,10,92,0.626573427,#EBDFD3,0.127622378,#3E83B6,0.091748252,#E22A5B,0.081328671,#454851,0.072727273,#D0CFBC,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2322055041.jpg,https://movie.douban.com/subject/26329059/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2322055041.jpg
139,现在和相爱的人在一起吗?,6.4,爱情,剧情,30,17,36,0.286783217,#5C554D,0.251748252,#BCA899,0.222937063,#F0EEEC,0.193426573,#1C1819,0.045104895,#62B2CB,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p472359034.jpg,https://movie.douban.com/subject/3026005/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p472359034.jpg
140,银实,7.4,动画,,30,19,83,0.266853147,#D3C0AC,0.246853147,#E3D4C3,0.199160839,#EDE1D4,0.186363636,#EADFCA,0.100769231,#782725,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173862766.jpg,https://movie.douban.com/subject/21795330/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173862766.jpg
141,你是我的命运,7.7,爱情,剧情,30,24,85,0.316013986,#D8BDA3,0.229300699,#AD8E77,0.194825175,#F1E6DE,0.151188811,#6F5951,0.108671329,#E4B25F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2176563405.jpg,https://movie.douban.com/subject/1433557/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2176563405.jpg
142,高龄化家族,7.2,家庭,喜剧,30,27,81,0.227692308,#CFB498,0.216013986,#5B5640,0.208671329,#1F1D1D,0.179440559,#7FB1C4,0.168181818,#6AA5DB,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1933520657.jpg,https://movie.douban.com/subject/11594901/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1933520657.jpg
143,记忆中的风琴,7.9,剧情,,332,14,8,0.374452555,#151213,0.231605839,#383330,0.173284672,#755742,0.132846715,#C49F6D,0.132846715,#C49F6D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p638803341.jpg,https://movie.douban.com/subject/1307895/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p638803578.jpg
144,热血青春,6.9,爱情,喜剧,30,31,14,0.296853147,#251F19,0.217762238,#999F95,0.196923077,#EBE5D8,0.186083916,#635344,0.102377622,#5B73B1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2167586161.jpg,https://movie.douban.com/subject/24839498/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2167586161.jpg
145,不当交易,7.2,悬疑,惊悚,30,37,11,0.31951049,#1B1611,0.298951049,#3A322C,0.13972028,#755C53,0.131818182,#C1A79C,0.11,#EBE6D8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p661034309.jpg,https://movie.douban.com/subject/4238950/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p661034309.jpg
146,隐秘而伟大,7.7,动作,喜剧,30,45,45,0.264685315,#72583F,0.249370629,#AC9777,0.23958042,#E8DFCF,0.210979021,#38291D,0.035384615,#95734E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1947401961.jpg,https://movie.douban.com/subject/6057942/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1947401961.jpg
147,青春,6.5,情色,爱情,30,47,86,0.279020979,#DBA774,0.215664336,#94503D,0.207832168,#C33037,0.179300699,#351C20,0.118181818,#D1C6BB,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2290531010.jpg,https://movie.douban.com/subject/1308077/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2290531010.jpg
148,爸爸是女儿,6.8,喜剧,奇幻,30,52,92,0.564685315,#EBAF70,0.141958042,#DBBEA6,0.118181818,#59474C,0.107482517,#DD5542,0.067692308,#A2A19D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2440973463.jpg,https://movie.douban.com/subject/26657439/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2440973463.jpg
149,庆州,7.4,剧情,,56,58,52,0.395244755,#847E38,0.187552448,#8E7C4C,0.158811189,#9EB0C8,0.12986014,#57542F,0.12986014,#57542F,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2200163597.jpg,https://movie.douban.com/subject/25710797/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184954876.jpg
150,美娜的文具店,7,喜剧,剧情,31,35,74,0.34979021,#BD9D7B,0.239370629,#584233,0.157552448,#E3E3E4,0.133776224,#564B8A,0.11951049,#728AA8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1936190832.jpg,https://movie.douban.com/subject/21937434/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1936190832.jpg
151,悲梦,6.9,爱情,剧情,32,0,99,0.371118881,#FDFCFC,0.304265734,#110F1D,0.159440559,#4C474A,0.087692308,#91776C,0.077482517,#B23F6E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p512004220.jpg,https://movie.douban.com/subject/2422588/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p512004220.jpg
152,我的爱,7.7,爱情,,32,8,86,0.357202797,#DCD4CB,0.24,#AE9A92,0.137202797,#181515,0.134965035,#853033,0.130629371,#665350,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p700719661.jpg,https://movie.douban.com/subject/3010828/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p700719661.jpg
153,我的哥哥,7.6,剧情,家庭,32,12,59,0.298951049,#978E85,0.218741259,#160F0F,0.218601399,#5E5049,0.174195804,#E1DDD7,0.08951049,#CCC3BB,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465614873.jpg,https://movie.douban.com/subject/1415573/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465614873.jpg
