序列,title,rate,style1,style2,h-0,s-0,v-0,percent-0,hex-0,percent-1,hex-1,percent-2,hex-2,percent-3,hex-3,percent-4,hex-4,pic,url,cover
18,突然有一天之D-day,6.3,恐怖,,6,23,6,0.457622378,#0F0C0C,0.205524476,#3A3433,0.141188811,#645B59,0.107482517,#561D1B,0.088181818,#907065,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1648256286.jpg,https://movie.douban.com/subject/1951014/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1648256286.jpg
19,罗密欧点,6.9,恐怖,惊悚,6,34,4,0.314475524,#0A0707,0.17979021,#81705A,0.173356643,#312821,0.169440559,#AB9F82,0.162937063,#DFD9D3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p896157251.jpg,https://movie.douban.com/subject/1470328/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p896157251.jpg
20,开心家族,8.5,喜剧,剧情,6,42,16,0.393006993,#291918,0.295874126,#60514A,0.223216783,#ADA19C,0.045034965,#C33332,0.042867133,#D3C4B5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p892692364.jpg,https://movie.douban.com/subject/6019180/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p892692364.jpg
21,如果我们是季节,6.9,剧情,爱情,7,1,100,0.261888112,#FEFCFC,0.234405594,#B39D74,0.195734266,#D4BFB4,0.16,#313625,0.147972028,#C72444,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2502309484.jpg,https://movie.douban.com/subject/27126335/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2502309484.jpg
22,你会在那里吗？,6.8,爱情,奇幻,7,21,21,0.28013986,#362C2B,0.255734266,#895D40,0.185104895,#BF9B68,0.149370629,#CAC3B6,0.12965035,#4D4129,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2397802705.jpg,https://movie.douban.com/subject/26352412/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2397802705.jpg
23,告别单身,6.6,喜剧,剧情,7,62,92,0.589300699,#EB6A5A,0.141468531,#C79F84,0.095244755,#F8F4EF,0.091468531,#593B28,0.082517483,#998D85,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2355436851.jpg,https://movie.douban.com/subject/26386434/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2355436851.jpg
24,呼吸,7.3,剧情,,7,78,6,0.387552448,#100503,0.233636364,#815434,0.182237762,#463126,0.157342657,#C4976A,0.039230769,#673D38,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1171885752.jpg,https://movie.douban.com/subject/1940880/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1171885752.jpg
25,荆棘,6.4,惊悚,剧情,8,22,38,0.281328671,#614F4C,0.273776224,#9B7768,0.260629371,#D6BDB0,0.126083916,#8B8687,0.058181818,#BB2124,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173428814.jpg,https://movie.douban.com/subject/25747029/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173428814.jpg
26,时间上的家,6.5,悬疑,惊悚,8,35,5,0.391188811,#0B0808,0.23034965,#815C45,0.215104895,#453027,0.097342657,#D8BEAF,0.066013986,#DFD6D4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2443108738.jpg,https://movie.douban.com/subject/26875251/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2443108738.jpg
27,我们的世界,8.4,儿童,剧情,8,72,92,0.276293706,#EA5942,0.25006993,#709450,0.234335664,#D8A174,0.125384615,#BFC14F,0.113916084,#D1CC24,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2385418547.jpg,https://movie.douban.com/subject/26616436/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2385418547.jpg
28,娼,7.2,情色,剧情,8,86,76,0.391678322,#C1301C,0.21027972,#781F17,0.137482517,#E6BAA1,0.132237762,#25110F,0.128321678,#59473E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2297888390.jpg,https://movie.douban.com/subject/1870804/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2297888390.jpg
29,普通人,6.7,犯罪,,9,28,9,0.355594406,#171211,0.241608392,#3A2F26,0.184545455,#725C48,0.112797203,#9C6E47,0.105454545,#A69482,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2436304214.jpg,https://movie.douban.com/subject/26781663/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2436304214.jpg
30,九岁人生,7.9,剧情,,9,29,9,0.311888112,#181211,0.294265734,#D1B094,0.210629371,#6B554A,0.139090909,#B26E59,0.044125874,#A38B75,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p749671614.jpg,https://movie.douban.com/subject/1400211/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p749671614.jpg
31,铁雨,8.1,战争,动作,9,31,13,0.331888112,#201816,0.211748252,#504546,0.170839161,#AB856E,0.16006993,#75402C,0.125454545,#1D1C20,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505050710.jpg,https://movie.douban.com/subject/26863778/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505050710.jpg
32,思悼,8.3,历史,剧情,10,22,29,0.241188811,#493C39,0.238601399,#76635F,0.222937063,#171210,0.218111888,#A4918C,0.079160839,#D49F3D,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2256702287.jpg,https://movie.douban.com/subject/25859495/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2256702287.jpg
33,触不到的恋人,7.8,爱情,奇幻,10,64,13,0.351608392,#210F0C,0.227762238,#AE8A50,0.16020979,#593723,0.148811189,#D3C79B,0.111608392,#0EB284,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p701320928.jpg,https://movie.douban.com/subject/1306526/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p701320928.jpg
34,南营洞1985,7.2,剧情,,11,22,7,0.394405594,#110E0D,0.273426573,#302824,0.137762238,#51473F,0.129230769,#85776B,0.065174825,#2A1C19,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1766032059.jpg,https://movie.douban.com/subject/19899628/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1766032059.jpg
35,恋爱谈,7.7,同性,爱情,11,23,39,0.282377622,#64514D,0.258321678,#7F464B,0.197552448,#897C7B,0.153846154,#E3E7F0,0.107902098,#594541,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2392975783.jpg,https://movie.douban.com/subject/26748688/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2392975783.jpg
36,母亲,8.3,剧情,,11,40,3,0.534825175,#090605,0.170699301,#2E201E,0.118041958,#CCC4B6,0.101048951,#635349,0.075384615,#D0C5BD,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1518748581.jpg,https://movie.douban.com/subject/3036460/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1518748581.jpg
37,布拉芙夫人,5.8,情色,爱情,12,19,4,0.383006993,#0B0A09,0.187132867,#A59189,0.156013986,#070605,0.146363636,#060505,0.127482517,#594F44,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2202212337.jpg,https://movie.douban.com/subject/10508874/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2202212337.jpg
38,大虎,7.2,历史,动作,12,19,46,0.221188811,#74625E,0.213216783,#F1F0F0,0.209090909,#463936,0.186503497,#111010,0.17,#F8E04E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2283081964.jpg,https://movie.douban.com/subject/26220759/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2283081964.jpg
39,嫌疑人X的献身,7.4,悬疑,犯罪,12,36,9,0.293006993,#16100E,0.203636364,#362F2E,0.201748252,#6F645F,0.155034965,#A6A09D,0.146573427,#DAD0C9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1702130521.jpg,https://movie.douban.com/subject/6869412/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1702130521.jpg
40,抓住那个家伙,7.9,犯罪,剧情,12,53,3,0.418671329,#080504,0.168391608,#DDD9D2,0.152167832,#32261F,0.133496503,#94897B,0.127272727,#7F807E,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1951590607.jpg,https://movie.douban.com/subject/21937438/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1951590607.jpg
41,哥,7.3,剧情,,13,1,90,0.274475524,#E6E4E3,0.25972028,#7A6960,0.218741259,#C1AAA6,0.187272727,#2D252F,0.05979021,#797750,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2393994340.jpg,https://movie.douban.com/subject/26582438/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2393994340.jpg
42,处女心经,7,爱情,,13,2,94,0.325174825,#F0ECEB,0.300839161,#21181F,0.191328671,#443940,0.168251748,#97878D,0.014405594,#81A345,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p606117883.jpg,https://movie.douban.com/subject/1308101/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p606117883.jpg
43,盲证,7.4,犯罪,悬疑,13,5,84,0.365804196,#D6CDCB,0.293146853,#A0908E,0.17972028,#140D0C,0.132727273,#564846,0.028601399,#E7EEEF,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1097845082.jpg,https://movie.douban.com/subject/5353344/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1097845082.jpg
44,妈妈别哭,6.1,剧情,,13,17,64,0.307412587,#A48E88,0.227762238,#090504,0.209020979,#715C57,0.188741259,#3C2D28,0.067062937,#CE5983,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1758860244.jpg,https://movie.douban.com/subject/19899663/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1758860244.jpg
45,追击者,8.4,犯罪,惊悚,13,34,7,0.341258741,#110C0B,0.221748252,#454445,0.167972028,#B89071,0.138671329,#6A3C2B,0.13034965,#AA2021,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2496896804.jpg,https://movie.douban.com/subject/3006309/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2496896804.jpg
46,高手们,6.3,犯罪,动作,13,36,2,0.372027972,#060404,0.194055944,#9E9A8E,0.155034965,#665E4E,0.145874126,#342D24,0.133006993,#635F6E,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215157469.jpg,https://movie.douban.com/subject/25819726/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215157469.jpg
47,武士,6.8,动作,剧情,13,58,14,0.25020979,#22130F,0.244055944,#671913,0.20020979,#584028,0.17965035,#9F512E,0.125874126,#986254,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2364475259.jpg,https://movie.douban.com/subject/1296520/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2364475259.jpg
